## Sky Sources names
#
# Stellarium Web Engine - Copyright (c) 2022 - Stellarium Labs SRL
#
# This program is licensed under the terms of the GNU AGPL v3, or
# alternatively under a commercial license.
#
# The terms of the AGPL v3 license can be found in the main directory of this
# repository.
#
# List of all known sky source names, excluding the ones related
# to a specific sky culture. I.e. this is the international names,
# spelled in english. Translations in other languages is done in
# separate documents.
#
# Each line link a common name to its main object ID.
# The format is a list of values separated by a |
# When an object has several names, they are listed each on a separated line
# by order of importance
#
# References for the names are listed in the sources column. Details for all
# references can be found in the common_names_refs.tab
##
### planet ###
# id            |english   |wikipedia_title  |model  |sources|notes                      |
# ------------- | -------- | --------------- | ----- | ----- | ------------------------- |
CON western Vul |Vulpecula          |Vulpecula_(constellation)          |constellation|WK     |Constellation in the western sky culture
#
### asterism ###
# id    |english                    |wikipedia_title                    |model   |sources|notes                                   |
# ----- | ------------------------- | --------------------------------- | ------ | ----- | -------------------------------------- |
AST SpT |Spring Triangle            |Spring_Triangle                    |asterism|       |
AST STr |Summer Triangle            |Summer_Triangle                    |asterism|       |
AST GSP |Great Square of Pegasus    |                                   |asterism|       |
AST WTr |Winter Triangle            |Winter_Triangle                    |asterism|       |
AST WHx |Winter Hexagon             |Winter_Hexagon                     |asterism|       |
AST WHx |Winter Circle              |                                   |asterism|       |Another name for the Winter Hexagon asterism
AST HeG |Heavenly G                 |                                   |asterism|       |An asterism resembling the shape of the Latin letter G
AST SoP |Segment of Perseus         |                                   |asterism|       |
AST NCr |Northern Cross             |Northern_Cross_(asterism)          |asterism|       |
AST WAs |W                          |                                   |asterism|       |An asterism resembling the shape of the Latin letter W
AST KSt |Keystone                   |                                   |asterism|       |An asterism in the Hercules constellation
AST Bfl |Butterfly                  |                                   |asterism|       |An asterism in the Hercules constellation
AST Kit |Kite                       |                                   |asterism|       |An asterism in the Bootes constellation
AST Sal |Sail                       |                                   |asterism|       |An asterism in the Corvus constellation
AST CoH |Coathanger                 |                                   |asterism|       |
AST JbC |Job's Coffin               |                                   |asterism|       |An asterism in the Delphinus constellation
AST VTa |V of Taurus                |                                   |asterism|       |An asterism resembling the shape of the Latin letter V
AST TrM |Triangulum Minus           |Triangulum_Minus                   |asterism|       |
AST Bie |Bier                       |                                   |asterism|       |An asterism in Ursa Major
AST GoP |Guardians of the Pole      |                                   |asterism|       |
AST GoP |Guards                     |                                   |asterism|       |Another name for the Guardians of the Pole asterism
AST BDr |Big Dipper                 |Big_Dipper                         |asterism|       |This is an asterism, not simply the Ursa Major constellation
AST BDr |Plough                     |                                   |asterism|       |Another name for the Big Dipper asterism. This is an asterism, not simply the Ursa Major constellation.
AST LDr |Little Dipper              |                                   |asterism|       |This is an asterism, not simply the Ursa Minor constellation
AST SSR |Seven Stars Row            |                                   |asterism|       |An asterism in the Andromeda constellation
AST HDr |Dragon Head                |                                   |asterism|       |
AST HDr |Lozenge                    |                                   |asterism|       |Another name for the Dragon Head asterism
AST HMG |Head of Medusa Gorgon      |                                   |asterism|       |An asterism in the Perseus constellation
AST Goa |Kids                       |                                   |asterism|       |An asterism in Auriga, its name is a synonym to "goatlings", not the general "children"
AST Urn |The Y in Aquarius          |                                   |asterism|       |An asterism resembling the shape of the Latin letter Y
AST Urn |The Urn or Water Jar       |                                   |asterism|       |Another name for The Y in Aquarius
AST OrB |Orion's Belt               |Orion's_Belt                       |asterism|       |
AST OrS |Orion's Sword              |Orion's_Sword                      |asterism|       |
AST OSh |Orion's Shield             |                                   |asterism|       |
AST OrC |Orion's Cudgel             |                                   |asterism|       |
AST HWl |Head of Whale              |                                   |asterism|       |
AST HSr |Head of Serpent            |                                   |asterism|       |
AST HHy |Head of Hydra              |                                   |asterism|       |
AST Tea |Teapot                     |                                   |asterism|       |An asterism in the Sagittarius constellation
AST Mlk |Milk Dipper                |                                   |asterism|       |An asterism in the Sagittarius constellation
AST Ter |Terebellum                 |                                   |asterism|       |An asterism in the Sagittarius constellation
AST ECr |Egyptian Cross             |                                   |asterism|       |An asterism centered in the Canis Major constellation
AST FCr |False Cross                |                                   |asterism|       |An asterism on the border of Carina and Vela
AST Sic |Sickle                     |                                   |asterism|       |An asterism in the Leo constellation
AST DCr |Diamond Cross              |                                   |asterism|       |An asterism in the Carina constellation
AST Cir |Circlet                    |                                   |asterism|       |An asterism in the Pisces constellation
AST TAK |The Arc of the King        |                                   |asterism|       |An asterism in the Cepheus constellation
AST HCn |Head of Centaurus          |                                   |asterism|       |
AST SuO |Sudor Ophiuchi             |                                   |asterism|       |An asterism in the Hercules constellation
AST VMr |Venus' Mirror              |                                   |asterism|       |An asterism in the Orion constellation
AST OBf |The Butterfly of Orion     |                                   |asterism|       |
AST FHA |The Fish Hook              |                                   |asterism|       |An asterism in the Scorpius constellation
AST BPN |The Bull of Poniatowski    |Taurus_Poniatovii                  |asterism|       |
AST TrB |The Trapezoid              |                                   |asterism|       |An asterism in the Bootes constellation
AST TPT |The Three Patriarchs       |                                   |asterism|       |An asterism in the Triangulum constellation
AST NFy |The Northern Fly           |Musca_Borealis                     |asterism|       |
AST BA1 |Davis' Dog                 |                                   |asterism|       |
AST BA2 |Honores Friderici          |Honores_Friderici                  |asterism|       |
AST BA2 |Frederick's Glory          |                                   |asterism|       |Another name of Honores Friderici asterism
AST EnP |Engagement ring of Polaris |                                   |asterism|       |
AST ChG |Christmas Goose            |                                   |asterism|       |An asterism in the Perseus constellation
AST Arr |The Arrow                  |                                   |asterism|       |An asterism in the Corvus constellation
AST FMi |The Flying Minnow          |                                   |asterism|       |An asterism in the Auriga constellation
AST Hr7 |Harrington 7               |                                   |asterism|       |
AST TA1 |Kemble's Cascade           |Kemble's_Cascade                   |asterism|       |
AST TA1 |Kemble 1                   |                                   |asterism|       |Another name for Kemble's Cascade asterism
AST TA2 |Kemble's Kite              |                                   |asterism|       |
AST TA2 |Kemble 3                   |                                   |asterism|       |Another name for Kemble's Kite asterism
AST TA3 |Mini-Cassiopeia            |                                   |asterism|       |
AST TA3 |Kemble 2                   |                                   |asterism|       |Another name for Mini-Cassiopeia asterism
AST TA4 |Napoleon's Hat             |                                   |asterism|       |An asterism in the Bootes constellation
AST TA8 |The Stargate               |Stargate_(asterism)                |asterism|       |
AST TA9 |The Jaws                   |                                   |asterism|       |An asterism in the Virgo constellation
AST TA10|Red-Necked Emu             |                                   |asterism|       |An asterism in the Cygnus constellation
#
### dso ###
# id                   |english                             |wikipedia_title|model |sources                                               |notes|
# -------------------- | ---------------------------------- | ------------- | ---- | ---------------------------------------------------- | --- |
AM 0018-485            |Robert's Quartet                    |               |dso   |                                                      |     
AM 2315-423            |Grus Quartet                        |               |dso   |NED                                                   |     
AM 2315-423            |Grus Triplet                        |               |dso   |SG                                                    |     
Abell 151              |Haufen A                            |               |dso   |WSG                                                   |
Abell 194              |Cetus Cluster                       |               |dso   |WSO                                                   |
Abell 426              |Perseus Cluster                     |               |dso   |NED,WP,DWH,WSO,WSG                                    |
Abell 520              |Train Wreck Cluster                 |               |dso   |WP                                                    |
Abell 1060             |Hydra Cluster                       |               |dso   |NED,WP,WSO                                            |
Abell 1060             |Hydra I                             |               |dso   |WSG                                                   |
Abell 1367             |Leo Cluster                         |               |dso   |NED,WP,WSO,WSG                                        |
Abell 1377             |Ursa Major I                        |               |dso   |WSG                                                   |
Abell 1656             |Coma Cluster                        |               |dso   |NED,WP,WSO,WSG                                        |
Abell 1930             |Bootes Cluster                      |               |dso   |DSNI                                                  |
Abell 2065             |Corona Borealis Cluster             |               |dso   |WP,DWH,WSG                                            |
Abell 2151             |Hercules Cluster                    |               |dso   |NED,WP,WSO,WSG                                        |
Abell 2744             |Pandora’s Cluster                   |               |dso   |WP                                                    |
Abell 3526             |Centaurus Cluster                   |               |dso   |NED,WP,WSO,WSG                                        |
Abell 3558             |Shapley 8 Cluster                   |               |dso   |NED,WP                                                |
Abell 3627             |Norma Cluster                       |               |dso   |NED,WP                                                |
Abell 3627             |Great Attractor                     |               |dso   |WSG                                                   |
Arp 55                 |The Grasshopper Galaxy              |               |dso   |ST2                                                   |     
Arp 81                 |Edward's Galaxy                     |               |dso   |ST2                                                   |     
Arp 84                 |The Heron Galaxy                    |               |dso   |ST2,DSW                                               |     
Arp 104                |Keenan's System                     |               |dso   |NED,SIMBAD                                            |     
Arp 148                |Mayall's Object                     |               |dso   |NED,SIMBAD,WSG                                        |     
Arp 188                |Tadpole Galaxy                      |               |dso   |SIMBAD,WSG                                            |     
Arp 233                |Haro II                             |               |dso   |                                                      |     
Arp 241                |Segner's Wheel                      |               |dso   |SIMBAD                                                |     
Arp 244                |Antennae                            |               |dso   |WK,DSW,TSS,DWH,WSO,WSG,PSA,DSNI                       |     
Arp 268                |Holmberg II                         |               |dso   |WSG                                                   |     
Arp 302                |Exclamation Point Galaxy            |               |dso   |                                                      |     
Arp 317                |Leo Triplet                         |               |dso   |WK,DSW,PSA,CC                                         |     
Arp 320                |Copeland's Septet                   |               |dso   |NED,WSO,WSG                                           |     
Arp 248B               |Wild's Triplet                      |               |dso   |NED,SIMBAD,PSA                                        |     
Barnard 22             |Taurus Dark Cloud Nebula            |               |dso   |                                                      |     
Barnard 33             |Horsehead Nebula                    |               |dso   |WK,BCH,DWH,PSA,DN                                     |     
